"","Cluster_standardized"
"Aalsmeer",10
"Aalten",10
"Achtkarspelen",10
"Beekdaelen",10
"Berg en Dal",10
"Bergeijk",10
"Bergen (L.)",10
"Bergen (NH.)",10
"Bernheze",10
"De Bilt",10
"Bladel",10
"Bodegraven-Reeuwijk",10
"Borsele",10
"Boxmeer",10
"Castricum",10
"Cranendonck",10
"Dalfsen",10
"Dantumadiel",10
"Delfzijl",10
"Deurne",10
"Dinkelland",10
"Doetinchem",10
"Drechterland",10
"Drimmelen",10
"Echt-Susteren",10
"Eersel",10
"Eijsden-Margraten",10
"Elburg",10
"Epe",10
"Ermelo",10
"Gemert-Bakel",10
"Goes",10
"Gulpen-Wittem",10
"Haaksbergen",10
"Halderberge",10
"Heerde",10
"Hellendoorn",10
"Heusden",10
"Hilvarenbeek",10
"Hoogeveen",10
"Hulst",10
"Kaag en Braassem",10
"Kampen",10
"Koggenland",10
"Laarbeek",10
"Landerd",10
"Lingewaard",10
"Losser",10
"Maasdriel",10
"Maasgouw",10
"Montferland",10
"Neder-Betuwe",10
"Nederweert",10
"Nieuwkoop",10
"Nijkerk",10
"Noordenveld",10
"Nunspeet",10
"Oirschot",10
"Oldebroek",10
"Olst-Wijhe",10
"Ommen",10
"Oost Gelre",10
"Oude IJsselstreek",10
"Overbetuwe",10
"Putten",10
"Raalte",10
"Reimerswaal",10
"Renkum",10
"Rijssen-Holten",10
"Roerdalen",10
"Roermond",10
"De Ronde Venen",10
"Rucphen",10
"Sint-Michielsgestel",10
"Smallingerland",10
"Someren",10
"Stadskanaal",10
"Staphorst",10
"Steenbergen",10
"Stichtse Vecht",10
"Tholen",10
"Tubbergen",10
"Twenterand",10
"Tynaarlo",10
"Uden",10
"Voorst",10
"Waalwijk",10
"Weert",10
"West Maas en Waal",10
"Weststellingwerf",10
"Wierden",10
"Wijchen",10
"Wijdemeren",10
"Winterswijk",10
"Woensdrecht",10
"Woerden",10
"Zaltbommel",10
"Zeewolde",10
"Zevenaar",10
"Zuidplas",10
"Zundert",10
"Zwartewaterland",10
